Race,Driver,Car,Start,Finish,Finish Status,ARP,wARP,GF Laps,SS,GR,LR,GR-LR,POMS,cPOMS,PGAE,PFARP,wPFARP,1st Seg. POMS,Last Seg. POMS,ΔPOMS,ARS
2025 All Star Race,Christopher Bell,20,2,1,Running,2.87,,218,8.13,3.7,0.57,3.13,0.9773,0.9955,11.08,,,0.972,0.982,0.01,118.396
2025 All Star Race,Joey Logano,Number 22,4,2,Running,1.45,,217,7.78,4.32,0.45,3.87,0.978,0.9963,19.06,,,0.974,0.98,0.006,118.496
2025 All Star Race,Ross Chastain,Number 1,3,3,Running,9.93,,216,-0.73,2.71,1.78,0.93,0.9688,0.9862,-2.83,,,0.97,0.98,0.009,117.403
2025 All Star Race,Alex Bowman,48,9,4,Running,7.74,,217,-0.86,2.12,0.75,1.38,0.97,0.988,2.38,,,0.966,0.979,0.013,117.232
2025 All Star Race,Chase Elliott,Number 9,6,5,Running,4.06,,217,2.64,2.26,0.64,1.62,0.9749,0.9932,6.67,,,0.973,0.978,0.005,117.985
2025 All Star Race,William Byron,24,5,6,Running,5.17,,217,3.19,2.89,0.98,1.91,0.9729,0.991,10.0,,,0.973,0.977,0.004,117.553
2025 All Star Race,Tyler Reddick,Number 45,13,7,Running,11.91,,217,-4.32,2.23,1.93,0.3,0.9652,0.9828,-11.87,,,0.965,0.978,0.013,117.155
2025 All Star Race,Kyle Busch,Number 8,8,8,Running,7.18,,217,-3.42,1.61,0.94,0.67,0.9699,0.9878,-12.41,,,0.968,0.975,0.007,117.84
2025 All Star Race,Chase Briscoe,Number 19,14,9,Running,12.48,,217,-6.25,1.53,1.66,-0.13,0.9662,0.9841,-15.18,,,0.961,0.972,0.011,116.94
2025 All Star Race,Chris Buescher,Number 17,10,10,Running,14.11,,217,-4.12,1.11,2.44,-1.32,0.9621,0.9796,-17.5,,,0.967,0.973,0.006,116.841
2025 All Star Race,Carson Hocevar,Number 77,21,11,Running,15.44,,217,-7.88,2.03,2.09,-0.06,0.9634,0.9811,-17.27,,,0.961,0.97,0.009,116.438
2025 All Star Race,Denny Hamlin,11,20,12,Running,17.12,,217,-8.14,1.32,3.77,-2.46,0.9608,0.9781,-18.13,,,0.96,0.971,0.011,116.725
2025 All Star Race,Noah Gragson,Number 4,23,13,Running,15.59,,217,-6.44,1.69,2.93,-1.24,0.9634,0.9809,-4.37,,,0.962,0.972,0.009,116.56
2025 All Star Race,Austin Dillon,Number 3,15,14,Running,12.57,,217,-4.05,1.87,2.05,-0.18,0.9662,0.984,-5.27,,,0.964,0.969,0.006,116.798
2025 All Star Race,Ricky Stenhouse Jr.,47,17,15,Running,18.84,,217,-8.73,1.08,4.27,-3.19,0.9597,0.9772,-22.28,,,0.959,0.97,0.011,116.26
2025 All Star Race,Ryan Blaney,12,7,16,Running,6.62,,217,2.42,2.06,1.56,0.5,0.9731,0.9912,-5.71,,,0.969,0.967,-0.002,117.467
2025 All Star Race,Josh Berry,Number 21,11,17,Running,12.54,,217,-5.36,1.97,2.76,-0.78,0.9658,0.9835,-17.58,,,0.965,0.967,0.003,117.027
2025 All Star Race,Austin Cindric,2,16,18,Running,16.08,,213,-5.31,1.02,1.32,-0.29,0.9626,0.9787,-14.74,,,0.966,0.968,0.002,116.826
2025 All Star Race,John Hunter Nemechek,Number 42,22,19,Running,20.93,,215,-14.12,0.61,6.42,-5.81,0.9571,0.9719,-30.95,,,0.959,0.965,0.006,116.044
2025 All Star Race,Harrison Burton,Number 51,18,20,Running,20.1,,216,-13.22,1.22,6.83,-5.61,0.9574,0.9739,-45.79,,,0.957,0.961,0.004,116.251
2025 All Star Race,Kyle Larson,Number 5,19,21,Running,12.39,,214,-0.81,3.27,2.0,1.27,0.9678,0.9856,-2.29,,,0.963,0.97,0.007,117.129
2025 All Star Race,Brad Keselowski,6,1,22,Accident,5.45,,154,0.66,0.63,0.58,0.05,0.9732,0.9909,-4.94,,,0.975,,,117.537
2025 All Star Race,Daniel Suarez,Number 99,12,23,Accident,12.95,,55,-5.76,0.08,1.67,-1.59,0.9627,0.9783,-9.92,,,0.97,,,116.257
2024 All Star Race,Joey Logano,22,1,1,Running,1.0,,173,5.18,0.0,0.0,0.0,0.9749,0.9895,11.81,,,0.902,0.987,0.085,
2024 All Star Race,Denny Hamlin,Number 11,11,2,Running,5.58,,171,5.38,2.16,0.24,1.91,0.9747,0.9893,6.55,,,0.828,0.987,0.159,
2024 All Star Race,Chris Buescher,Number 17,5,3,Running,3.23,,172,1.97,1.97,0.32,1.65,0.9711,0.9856,5.47,,,0.855,0.982,0.126,
2024 All Star Race,Kyle Larson,Number 5,12,4,Running,9.68,,172,2.71,1.79,0.48,1.32,0.9659,0.9802,-0.36,,,0.807,0.982,0.175,
2024 All Star Race,Ryan Blaney,Number 12,17,5,Running,3.81,,172,3.39,2.73,0.58,2.15,0.9711,0.9855,8.56,,,0.794,0.981,0.187,
2024 All Star Race,Bubba Wallace,23,19,6,Running,12.09,,172,-3.65,1.3,0.07,1.23,0.9629,0.9772,-3.64,,,0.78,0.98,0.2,
2024 All Star Race,Ross Chastain,Number 1,7,7,Running,8.61,,172,-4.6,0.9,0.84,0.07,0.9651,0.9795,-7.01,,,0.845,0.977,0.132,
2024 All Star Race,Chase Elliott,Number 9,15,8,Running,9.72,,172,-2.8,1.65,1.11,0.54,0.9652,0.9796,2.42,,,0.811,0.976,0.166,
2024 All Star Race,Michael McDowell,34,9,9,Running,14.13,,171,-3.8,1.27,2.46,-1.19,0.9616,0.9761,-11.4,,,0.833,0.975,0.142,
2024 All Star Race,Kyle Busch,Number 8,14,10,Running,13.25,,171,-6.79,1.19,1.94,-0.76,0.9639,0.9783,-14.96,,,0.829,0.975,0.146,
2024 All Star Race,Noah Gragson,10,20,11,Running,15.66,,170,-4.99,0.81,1.94,-1.13,0.9602,0.9745,-5.16,,,0.812,0.972,0.159,
