Driver,Age,Car,Starts,Wins,Points,GF Laps,ASP,ARP,wARP,AFP,PFAE,Avg. PFAE,Succ%,PGAE,PGAE/100,PFARP,wPFARP,cPOMS,GR,LR,GR-LR,SS,1st Seg. POMS,Last Seg. POMS,ΔPOMS
Ryan Blaney,32,Number 12,3,1,159,1000,6.00,4.45,3.71,3.00,34.52,11.506,100.0,95.528,10.109,6.755,5.905,0.9882,1.62,0.48,1.13,8.57,0.9490,0.9605,0.0116
Ty Gibbs,23,Number 54,3,1,144,999,7.67,6.01,4.48,3.00,38.94,12.980,100.0,14.830,1.571,7.909,6.886,0.9869,0.97,0.24,0.73,6.79,0.9466,0.9606,0.0140
Denny Hamlin,45,Number 11,3,0,144,1000,7.67,4.72,4.30,5.33,29.09,9.695,100.0,41.469,4.393,4.458,3.484,0.9862,1.24,0.34,0.91,6.63,0.9491,0.9614,0.0123
Kyle Larson,33,Number 5,3,0,120,998,7.67,6.62,5.39,5.00,31.15,10.382,100.0,-1.497,-0.159,5.874,4.883,0.9844,0.75,0.35,0.40,5.11,0.9440,0.9571,0.0131
Christopher Bell,31,Number 20,3,0,103,969,12.33,13.59,17.20,12.00,14.12,4.707,66.7,-5.028,-0.536,1.852,1.865,0.9851,1.02,0.47,0.55,6.07,0.9462,0.9593,0.0131
Joey Logano,35,Number 22,3,0,102,957,10.00,6.91,6.07,13.67,6.47,2.158,66.7,3.069,0.336,1.393,1.932,0.9855,0.98,0.37,0.61,6.71,0.9462,0.9600,0.0139
Tyler Reddick,30,Number 45,3,0,100,994,6.00,9.98,10.39,9.00,16.49,5.497,100.0,-24.306,-2.575,4.365,4.266,0.9839,0.84,0.44,0.40,4.55,0.9464,0.9510,0.0046
William Byron,28,Number 24,3,0,86,967,15.00,18.02,20.06,14.00,11.59,3.865,66.7,-30.003,-3.199,2.744,2.290,0.9795,0.68,0.57,0.11,-0.54,0.9451,0.9596,0.0145
Chase Elliott,30,Number 9,3,1,84,994,18.00,14.24,13.59,15.33,6.85,2.284,33.3,-115.453,-12.217,0.563,-0.042,0.9774,1.12,1.10,0.02,-2.42,0.9409,0.9594,0.0185
Carson Hocevar,23,Number 77,3,0,79,997,8.00,10.96,10.32,15.67,0.06,0.020,33.3,-38.875,-4.118,-0.883,-1.181,0.9808,0.85,0.46,0.39,-0.12,0.9421,0.9483,0.0062
Ryan Preece,35,Number 60,3,0,79,994,15.67,14.64,13.42,11.00,20.51,6.836,100.0,-62.171,-6.586,4.945,4.395,0.9798,0.94,0.91,0.03,-3.97,0.9429,0.9538,0.0109
Austin Cindric,27,Number 2,3,0,76,934,6.00,8.71,10.19,19.33,-11.70,-3.899,33.3,-30.356,-3.399,-3.308,-2.029,0.9838,0.61,0.33,0.28,4.31,0.9477,0.9552,0.0075
Chris Buescher,33,Number 17,3,0,72,989,13.33,16.04,16.41,15.33,5.94,1.980,66.7,-76.827,-8.173,1.260,1.142,0.9788,0.76,0.73,0.03,0.00,0.9430,0.9464,0.0034
Todd Gilliland,25,Number 34,3,0,71,983,31.33,21.13,17.86,13.67,29.07,9.690,66.7,-40.337,-4.282,5.884,4.601,0.9758,0.85,0.69,0.16,-4.94,0.9373,0.9490,0.0116
Brad Keselowski,42,Number 6,3,0,69,993,27.00,19.31,17.36,14.00,26.16,8.720,100.0,-56.008,-5.933,4.079,3.140,0.9757,0.93,1.07,-0.15,-6.28,0.9368,0.9533,0.0165
Chase Briscoe,31,Number 19,3,0,69,879,16.67,11.96,10.81,18.67,-0.71,-0.236,66.7,-26.397,-3.128,1.828,3.073,0.9820,0.62,0.17,0.44,2.13,0.9431,0.9510,0.0079
Bubba Wallace,32,Number 23,3,0,68,928,18.33,11.44,10.45,17.67,-0.12,-0.040,66.7,-33.825,-3.852,-3.249,-3.638,0.9795,0.89,0.45,0.45,1.00,0.9418,0.9592,0.0175
Shane Van Gisbergen,-,Number 97,3,0,63,821,18.67,19.67,19.93,18.67,1.78,0.595,66.7,-52.867,-6.743,0.873,1.080,0.9682,0.78,0.84,-0.06,-7.48,0.9424,0.9541,0.0117
Michael McDowell,41,Number 71,3,0,60,987,18.33,20.56,21.09,17.00,6.12,2.040,66.7,-119.262,-12.634,0.467,-0.170,0.9745,0.67,0.77,-0.10,-5.93,0.9379,0.9498,0.0119
Josh Berry,35,Number 21,3,0,57,937,12.67,12.89,14.11,24.67,-21.69,-7.230,33.3,-80.848,-9.013,-8.306,-7.975,0.9760,0.86,0.87,-0.01,-0.22,0.9431,0.9553,0.0121
Erik Jones,29,Number 43,3,0,57,983,26.33,22.33,22.09,18.00,10.57,3.523,33.3,-99.247,-10.525,0.624,-0.089,0.9729,0.54,0.65,-0.11,-7.96,0.9367,0.9460,0.0093
Daniel Suarez,34,Number 7,3,0,53,952,13.00,19.08,20.25,20.67,-9.90,-3.299,66.7,-113.835,-12.496,-0.042,1.342,0.9758,0.54,0.75,-0.21,-6.53,0.9426,0.9446,0.0020
Austin Dillon,35,Number 3,3,0,52,984,26.33,21.61,21.25,19.67,4.51,1.503,66.7,-116.443,-12.335,-0.262,-0.588,0.9749,0.59,0.58,0.02,-7.04,0.9393,0.9520,0.0127
AJ Allmendinger,44,Number 16,3,0,50,982,24.33,21.98,21.14,20.33,1.44,0.480,66.7,-103.766,-11.027,0.310,0.181,0.9764,0.62,0.91,-0.30,-6.87,0.9387,0.9464,0.0076
Ross Chastain,33,Number 1,3,0,48,963,10.00,15.27,17.29,21.33,-14.58,-4.859,33.3,-99.284,-10.664,-3.659,-2.668,0.9741,0.59,0.72,-0.13,1.74,0.9422,0.9482,0.0060
Kyle Busch,40,Number 8,3,0,45,963,30.67,26.71,25.23,22.00,4.33,1.443,66.7,-113.459,-12.161,0.079,-0.902,0.9715,0.52,1.01,-0.49,-9.16,0.9342,0.9477,0.0135
Ricky Stenhouse Jr.,38,Number 47,3,0,42,979,25.67,26.26,25.39,23.00,-2.97,-0.991,33.3,-92.414,-9.821,0.472,0.482,0.9714,0.57,1.20,-0.62,-9.59,0.9355,0.9451,0.0096
Riley Herbst,26,Number 35,3,0,40,915,17.33,21.39,22.71,24.67,-20.40,-6.799,33.3,-130.423,-14.888,-4.595,-3.903,0.9718,0.47,0.95,-0.47,-5.63,0.9399,0.9490,0.0091
Zane Smith,26,Number 38,3,0,31,946,17.67,20.92,20.69,26.67,-24.87,-8.290,0.0,-95.195,-10.507,-6.180,-5.930,0.9740,0.53,0.62,-0.08,-6.19,0.9407,0.9363,-0.0044
Cody Ware,30,Number 51,3,0,24,951,35.00,33.48,32.33,29.00,-9.46,-3.152,33.3,-96.262,-10.317,-0.900,-1.281,0.9618,0.24,1.44,-1.20,-15.75,0.9276,0.9441,0.0166
Connor Zilisch,19,Number 88,3,0,23,932,23.33,28.68,29.17,29.33,-27.98,-9.328,0.0,-129.463,-14.305,-4.944,-4.346,0.9678,0.45,1.29,-0.85,-10.71,0.9357,0.9479,0.0123
John Hunter Nemechek,28,Number 42,3,0,22,804,26.00,28.32,29.28,29.67,-25.28,-8.425,0.0,-69.381,-8.941,-4.848,-4.037,0.9680,0.47,1.22,-0.75,-10.33,0.9344,0.9437,0.0093
Noah Gragson,27,Number 4,3,0,21,878,27.33,24.22,23.41,30.00,-22.64,-7.546,0.0,-136.599,-15.939,-6.171,-5.615,0.9706,0.46,1.10,-0.64,-8.45,0.9359,0.9455,0.0096
Ty Dillon,33,Number 10,3,0,20,886,33.67,28.21,27.37,30.67,-16.39,-5.463,0.0,-104.445,-12.145,-6.612,-6.645,0.9675,0.55,1.08,-0.54,-11.78,0.9347,0.9176,-0.0171
Cole Custer,28,Number 41,3,0,17,865,30.00,31.14,30.93,31.33,-25.83,-8.609,0.0,-104.669,-12.199,-3.424,-2.349,0.9682,0.27,1.03,-0.76,-12.20,0.9371,0.9478,0.0107
